rank,name_russian,name_english,name_original,film_url,country,production_year,soviet_release_year,viewers_total,avg_ticket_price_rub,box_office_rubles
33,Горожане,,,https://www.kino-teatr.ru/kino/movie/sov/1465/annot/,,1975,1976,17400000,0.46,8004000.00
34,Когда наступает сентябрь,,,https://www.kino-teatr.ru/kino/movie/sov/3037/annot/,,1975,1976,16900000,0.46,7774000.00
35,Между небом и землёй,,,https://www.kino-teatr.ru/kino/movie/sov/3803/annot/,,1975,1976,16700000,0.46,7682000.00
36,В клешнях Чёрного Рака,,,https://www.kino-teatr.ru/kino/movie/sov/730/annot/,,1975,1976,16400000,0.46,7544000.00
37,На ясный огонь,,,https://www.kino-teatr.ru/kino/movie/sov/4209/annot/,,1975,1976,15800000,0.46,7268000.00
38,Одиннадцать надежд,,,https://www.kino-teatr.ru/kino/movie/sov/4673/annot/,,1975,1976,15600000,0.46,7176000.00
39,Незнакомый наследник,,,https://www.kino-teatr.ru/kino/movie/sov/4388/annot/,,1974,1976,15300000,0.46,7038000.00
40,Шаг навстречу,,,https://www.kino-teatr.ru/kino/movie/sov/7958/annot/,,1975,1976,15300000,0.46,7038000.00
41,Последняя жертва,,,https://www.kino-teatr.ru/kino/movie/sov/5473/annot/,,1975,1976,14100000,0.46,6486000.00
42,...И другие официальные лица,,,https://www.kino-teatr.ru/kino/movie/sov/2585/annot/,,1976,1976,13400000,0.46,6164000.00
43,Крестьянский сын,,,https://www.kino-teatr.ru/kino/movie/sov/3283/annot/,,1975,1976,13300000,0.46,6118000.00
44,"Алло, такси!",,,https://www.kino-teatr.ru/kino/movie/euro/155089/annot/,ГДР,1974,1976,13100000,0.46,6026000.00
45,Марина,,,https://www.kino-teatr.ru/kino/movie/sov/3721/annot/,,1974,1976,13100000,0.46,6026000.00
46,На край света...,,,https://www.kino-teatr.ru/kino/movie/sov/4175/annot/,,1975,1976,12400000,0.46,5704000.00
47,Король в Нью-Йорке,,,https://www.kino-teatr.ru/kino/movie/euro/30762/annot/,Великобритания,1957,1976,12300000,0.46,5658000.00
48,Выбор цели,,,https://www.kino-teatr.ru/kino/movie/sov/1291/annot/,,1974,1976,12300000,0.46,5658000.00
49,Ау-у! (киноальманах),,,https://www.kino-teatr.ru/kino/movie/sov/315/annot/,,1975,1976,12300000,0.46,5658000.00
50,Весеннее равноденствие,,,https://www.kino-teatr.ru/kino/movie/euro/109786/annot/,Чехословакия,1974,1976,11600000,0.46,5336000.00
51,Синяя птица,,,https://www.kino-teatr.ru/kino/movie/hollywood/6444/annot/,СССР,1976,1976,11500000,0.46,5290000.00
52,Раба любви,,,https://www.kino-teatr.ru/kino/movie/sov/5896/annot/,,1975,1976,11200000,0.46,5152000.00
53,Повесть о человеческом сердце,,,https://www.kino-teatr.ru/kino/movie/sov/5224/annot/,,1974,1976,11000000,0.46,5060000.00
54,Короткий отпуск,,,https://www.kino-teatr.ru/kino/movie/euro/38447/annot/,Италия,1973,1976,10600000,0.46,4876000.00
55,Чужие письма,,,https://www.kino-teatr.ru/kino/movie/sov/7946/annot/,,1975,1976,10600000,0.46,4876000.00
56,Загадочное похищение,,,https://www.kino-teatr.ru/kino/movie/euro/31373/annot/,Венгрия,1974,1976,10300000,0.46,4738000.00
57,Очарованная сценой,,,https://www.kino-teatr.ru/kino/movie/hollywood/23123/annot/,США,1958,1976,10300000,0.46,4738000.00
58,Русалочка,,,https://www.kino-teatr.ru/kino/movie/sov/6079/annot/,СССР,1976,1976,10300000,0.46,4738000.00
59,Новые испанцы,,,https://www.kino-teatr.ru/kino/movie/euro/133804/annot/,Испания,1974,1976,10200000,0.46,4692000.00
60,Это я убил,,,https://www.kino-teatr.ru/kino/movie/euro/99173/annot/,Польша,1974,1976,10200000,0.46,4692000.00
61,Осень,,,https://www.kino-teatr.ru/kino/movie/sov/4809/annot/,,1974,1976,9800000,0.46,4508000.00
62,Порт,,,https://www.kino-teatr.ru/kino/movie/sov/9425/annot/,,1975,1976,9700000,0.46,4462000.00
63,Рикки-Тикки-Тави,,,https://www.kino-teatr.ru/kino/movie/sov/6004/annot/,,1975,1976,9700000,0.46,4462000.00
64,"Подходим ли мы друг другу, дорогой?",,,https://www.kino-teatr.ru/kino/movie/euro/91504/annot/,Чехословакия,1974,1976,9500000,0.46,4370000.00
65,Страх высоты,,,https://www.kino-teatr.ru/kino/movie/sov/6837/annot/,,1975,1976,9400000,0.46,4324000.00
66,Алиса здесь больше не живет,,,https://www.kino-teatr.ru/kino/movie/hollywood/22773/annot/,США,1974,1976,9200000,0.46,4232000.00
67,Прошу слова,,,https://www.kino-teatr.ru/kino/movie/sov/5798/annot/,,1975,1976,9000000,0.46,4140000.00
68,Копьеносцы,,,https://www.kino-teatr.ru/kino/movie/euro/133801/annot/,Венгрия,1975,1976,9000000,0.46,4140000.00
69,Братушка,,,https://www.kino-teatr.ru/kino/movie/euro/636/annot/,СССР,1975,1976,8900000,0.46,4094000.00
70,Человек из Лондона,,,https://www.kino-teatr.ru/kino/movie/euro/171976/annot/,Чехословакия,1974,1976,8800000,0.46,4048000.00
71,Вычисленное счастье,,,https://www.kino-teatr.ru/kino/movie/euro/96017/annot/,Чехословакия,1974,1976,8800000,0.46,4048000.00
72,Время её сыновей,,,https://www.kino-teatr.ru/kino/movie/sov/8306/annot/,,1974,1976,8600000,0.46,3956000.00
73,Мальчишки ехали на фронт,,,https://www.kino-teatr.ru/kino/movie/sov/3697/annot/,,1975,1976,8400000,0.46,3864000.00
74,Матерь человеческая,,,https://www.kino-teatr.ru/kino/movie/sov/3756/annot/,,1975,1976,8200000,0.46,3772000.00
75,Цирк,,,https://www.kino-teatr.ru/kino/movie/hollywood/23626/annot/,США,1928,1976,8000000,0.46,3680000.00
76,"Улыбнись, ровесник!",,,https://www.kino-teatr.ru/kino/movie/euro/7452/annot/,CCCР,1975,1976,7900000,0.46,3634000.00
77,Преступление в гостинице,,,https://www.kino-teatr.ru/kino/movie/euro/155292/annot/,Чехословакия,1973,1976,7700000,0.46,3542000.00
78,"Пойми меня, мама",,,https://www.kino-teatr.ru/kino/movie/euro/116590/annot/,ГДР,1974,1976,7700000,0.46,3542000.00
79,Выстрелы в Марианских Лазнях,,,https://www.kino-teatr.ru/kino/movie/euro/122494/annot/,Германия,1973,1976,7500000,0.46,3450000.00
80,Яд в стакане,,,https://www.kino-teatr.ru/kino/movie/euro/85760/annot/,Венгрия,1974,1976,7500000,0.46,3450000.00
81,Принимаю на себя,,,https://www.kino-teatr.ru/kino/movie/sov/5681/annot/,,1975,1976,7500000,0.46,3450000.00
82,Бег одержимых,,,https://www.kino-teatr.ru/kino/movie/euro/116741/annot/,Венгрия,1974,1976,7200000,0.46,3312000.00
83,Маленький сержант,,,https://www.kino-teatr.ru/kino/movie/euro/3680/annot/,СССР,1975,1976,7200000,0.46,3312000.00
84,Чёртова невеста,,,https://www.kino-teatr.ru/kino/movie/sov/7861/annot/,,1974,1976,7000000,0.46,3220000.00
85,"Ирония судьбы, или С лёгким паром!",,,https://www.kino-teatr.ru/kino/movie/sov/2732/annot/,,1975,1976,7000000,0.46,3220000.00
86,Майор Хубаль,,,https://www.kino-teatr.ru/kino/movie/euro/98224/annot/,Польша,1973,1976,6900000,0.46,3174000.00
87,"""SOS"" над тайгой",,,https://www.kino-teatr.ru/kino/movie/sov/1/annot/,,1976,1976,6900000,0.46,3174000.00
88,Коррупция во Дворце правосудия,,,https://www.kino-teatr.ru/kino/movie/euro/123462/annot/,Италия,1974,1976,6800000,0.46,3128000.00
89,Голубая вода - белая смерть,,,https://www.kino-teatr.ru/kino/movie/hollywood/133960/annot/,США,1971,1976,6700000,0.46,3082000.00
90,"Инцидент, или Случай в метро",,,https://www.kino-teatr.ru/kino/movie/hollywood/55247/annot/,США,1967,1976,6700000,0.46,3082000.00
91,Профессия: репортер,,,https://www.kino-teatr.ru/kino/movie/hollywood/27298/annot/,Испания,1974,1976,6700000,0.46,3082000.00
92,Вы Петьку не видели?,,,https://www.kino-teatr.ru/kino/movie/sov/1286/annot/,,1975,1976,6700000,0.46,3082000.00
93,Далекие близкие годы,,,https://www.kino-teatr.ru/kino/movie/sov/1572/annot/,,1976,1976,6600000,0.46,3036000.00
94,"Там, за горизонтом",,,https://www.kino-teatr.ru/kino/movie/sov/7040/annot/,,1975,1976,6600000,0.46,3036000.00
95,Меняю собаку на паровоз,,,https://www.kino-teatr.ru/kino/movie/sov/3828/annot/,,1975,1976,6500000,0.46,2990000.00
96,"Там вдали, за рекой",,,https://www.kino-teatr.ru/kino/movie/sov/7036/annot/,,1975,1976,6500000,0.46,2990000.00
97,Белый пароход,,,https://www.kino-teatr.ru/kino/movie/sov/9098/annot/,,1975,1976,6400000,0.46,2944000.00
98,Притча о любви,,,https://www.kino-teatr.ru/kino/movie/sov/13575/annot/,,1975,1976,6100000,0.46,2806000.00
99,Тайна горного подземелья,,,https://www.kino-teatr.ru/kino/movie/sov/8801/annot/,,1975,1976,6100000,0.46,2806000.00
100,Потрясающий Берендеев,,,https://www.kino-teatr.ru/kino/movie/sov/5508/annot/,,1975,1976,6100000,0.46,2806000.00
101,Что с тобой происходит?,,,https://www.kino-teatr.ru/kino/movie/sov/7914/annot/,,1975,1976,5900000,0.46,2714000.00
102,Чудо с косичками,,,https://www.kino-teatr.ru/kino/movie/sov/7929/annot/,,1974,1976,5900000,0.46,2714000.00
103,Ответная мера,,,https://www.kino-teatr.ru/kino/movie/sov/4862/annot/,,1974,1976,5800000,0.46,2668000.00
104,Пузырьки,,,https://www.kino-teatr.ru/kino/movie/sov/5833/annot/,,1975,1976,5700000,0.46,2622000.00
105,Факт биографии,,,https://www.kino-teatr.ru/kino/movie/sov/7524/annot/,,1975,1976,5700000,0.46,2622000.00
106,"Кто, если не ты...",,,https://www.kino-teatr.ru/kino/movie/sov/3349/annot/,,1974,1976,5700000,0.46,2622000.00
107,"Весна, пан сержант!",,,https://www.kino-teatr.ru/kino/movie/euro/92061/annot/,Польша,1974,1976,5600000,0.46,2576000.00
108,Лето мотоциклистов,,,https://www.kino-teatr.ru/kino/movie/sov/10958/annot/,,1975,1976,5600000,0.46,2576000.00
109,Первая ласточка,,,https://www.kino-teatr.ru/kino/movie/sov/5035/annot/,,1975,1976,5400000,0.46,2484000.00
110,Чёрный караван,,,https://www.kino-teatr.ru/kino/movie/sov/9162/annot/,,1975,1976,5300000,0.46,2438000.00
111,Эти бесстрашные ребята на гоночных автомобилях,,,https://www.kino-teatr.ru/kino/movie/sov/8096/annot/,,1975,1976,5300000,0.46,2438000.00
112,Конрак,,,https://www.kino-teatr.ru/kino/movie/hollywood/42024/annot/,США,1974,1976,5200000,0.46,2392000.00
113,Мои дорогие,,,https://www.kino-teatr.ru/kino/movie/sov/8718/annot/,,1975,1976,5200000,0.46,2392000.00
114,Краткие встречи на долгой войне,,,https://www.kino-teatr.ru/kino/movie/sov/3263/annot/,,1975,1976,5200000,0.46,2392000.00
115,Честное волшебное,,,https://www.kino-teatr.ru/kino/movie/sov/7867/annot/,,1975,1976,5200000,0.46,2392000.00
116,Ярослав Домбровский,,,https://www.kino-teatr.ru/kino/movie/sov/8221/annot/,Польша,1975,1976,5100000,0.46,2346000.00
117,Дублёр,,,https://www.kino-teatr.ru/kino/movie/euro/97303/annot/,Болгария,1974,1976,4900000,0.46,2254000.00
118,Белая стена,,,https://www.kino-teatr.ru/kino/movie/euro/52477/annot/,Швеция,1975,1976,4900000,0.46,2254000.00
